Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Minnesota Vikings,81,Malik Knowles,WR,6-2,196,--,1,,,,-,-,-,-
Minnesota Vikings,62,Christopher Reed,OG,6-3,314,31,-,,,,Christopher Murray,Imani Sports,-,-
Minnesota Vikings,73,Junior Aho,DL,6-4,272,--,1,,,,-,-,-,-
Minnesota Vikings,85,Dan Chisena,WR,6-3,203,26,3,,,,-,-,-,-
Minnesota Vikings,63,Coy Cronk,OT,6-4,318,25,1,,,,-,-,-,-
Minnesota Vikings,52,Sheldon Day,DT,6-1,294,29,7,,,,Travis Allen,Athletes First,-,Athletes First
Minnesota Vikings,96,Michael Dogbe,DE,6-3,280,27,3,,,,-,-,"Tory Dandy, Jimmy Sexton",CAA Sports
Minnesota Vikings,82,Troy Fumagalli,TE,6-6,248,28,5,,,,Patrick Collins,CAA Football,"Jimmy Sexton, RJ Gonser, Patrick Collins, John Caplin",CAA Sports
Minnesota Vikings,15,Lucky Jackson,WR,6-0,186,26,-,,,,-,-,-,-
Minnesota Vikings,19,Sean Mannion,QB,6-6,230,31,8,,,,Travis Allen,Athletes First,-,Athletes First
Minnesota Vikings,37,Coy Cronk,RB,5-10,209,--,1,,,,-,-,-,-
Minnesota Vikings,79,Tyrese Robinson,OG,6-3,324,24,1,,,,-,-,-,-
Minnesota Vikings,48,Quincy Roche,LB,6-3,245,25,2,,,,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Minnesota Vikings,50,T.J. Smith,DT,6-3,300,26,1,,,,-,-,-,-
Minnesota Vikings,89,Thayer Thomas,WR,6-0,195,--,1,,,,-,-,-,-
Minnesota Vikings,59,Nick Vigil,LB,6-2,230,,7,,,,David Canter,GSE Worldwide Football,David Canter,GSE Worldwide Football
