Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Chicago Bears,63,Matt Farniok,OG,6-5,315,27,2,Jeremy Cohen,JL Sports,-,JL Sports
Chicago Bears,43,DeMarquis Gates,LB,6-2,221,27,1,Jason Davis,-,Jason Davis,Higher Level Agency
Chicago Bears,92,Daniel Hardy,LB,6-3,240,--,1,Jovan Barnes,"Independent Sports & Entertainment
",-,"Independent Sports & Entertainment
"
Chicago Bears,59,Jalen Harris,DE,6-4,257,--,1,-,-,-,-
Chicago Bears,80,Collin Johnson,WR,6-6,222,26,3,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Chicago Bears,52,Khalid Kareem,DE,6-4,268,25,3,-,-,-,CAA Sports
Chicago Bears,25,Christian Matthew,DB,6-2,195,27,1,Robert Bailey,Rosenhaus Sports Representation,Robert Bailey,Rosenhaus Sports Representation
Chicago Bears,67,Roy Mbaeteka,OT,6-8,331,23,1,-,-,-,-
Chicago Bears,10,Trace McSorley,QB,6-0,202,28,4,Jason Bernstein,Clarity Football,Jason Bernstein,Clarity Football
Chicago Bears,60,Bill Murray,DT,6-4,307,26,1,-,-,-,-
Chicago Bears,83,Nsimba Webster,WR,5-10,180,27,4,-,-,-,-
Chicago Bears,36,Kendall Williamson,DB,6-0,203,--,1,-,-,-,-
