Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Jacksonville Jaguars,51,Ventrell Miller,LB,6-0,221,--,1,,,,Alexander Broers,Vantage Management Group,-,Vantage Management Group
Jacksonville Jaguars,83,Jaylon Moore,WR,5-11,198,26,1,,,,Jerard Roggio,"SPORTSTARS, INC.",-,-
Jacksonville Jaguars,49,Leonard Taylor,TE,6-5,260,--,1,,,,-,-,-,-
Jacksonville Jaguars,11,Parker Washington,WR,5-10,212,--,1,,,,-,-,-,-
Jacksonville Jaguars,78,Ben Bartch,OG,6-6,315,25,3,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Jacksonville Jaguars,67,Chandler Brewer,OT,6-6,320,26,2,,,,Andrew Baker,Exclusive Sports Group ,-,Exclusive Sports Group 
Jacksonville Jaguars,29,Tevaughn Campbell,DB,6-0,200,30,3,,,,-,-,-,-
Jacksonville Jaguars,54,D.J. Coleman,LB,6-5,283,--,1,,,,-,-,-,-
Jacksonville Jaguars,24,Snoop Conner,RB,5-10,222,23,1,,,,Travis Allen,Athletes First,-,Athletes First
Jacksonville Jaguars,47,De'Shaan Dixon,LB,6-5,247,24,1,,,,-,-,-,-
Jacksonville Jaguars,40,Erick Hallett,DB,5-11,190,--,1,,,,-,-,-,-
Jacksonville Jaguars,83,Jacob Harris,TE,6-5,211,--,2,,,,Ryan Beane,UA Sports,-,UA Sports
Jacksonville Jaguars,55,Dequan Jackson,LB,6-1,255,--,1,,,,-,-,-,-
Jacksonville Jaguars,90,Henry Mondeaux,DT,6-5,280,28,3,,,,-,-,-,-
Jacksonville Jaguars,--,Amani Oruwariye,DB,6-2,205,27,4,,,,Edward Berry,CAA Football,"Edward Berry, Jimmy Sexton",CAA Football
Jacksonville Jaguars,92,Esezi Otomewo,DE,6-5,282,24,1,,,,Jared Fox,"SPORTSTARS, INC.","Justin Faires, Jared Fox",SportStars
Jacksonville Jaguars,35,Ayo Oyelola,DB,5-11,213,25,1,,,,-,-,-,-
Jacksonville Jaguars,49,Josh Pederson,TE,6-5,235,26,1,,,,-,-,-,-
Jacksonville Jaguars,12,Nathan Rourke,QB,6-1,210,25,1,,,,-,-,-,-
Jacksonville Jaguars,60,Darryl Williams,C,6-2,304,26,1,,,,-,-,-,-
Jacksonville Jaguars,81,Seth Williams,WR,6-2,211,23,1,,,,Harold Bicknell,Gate City Athletics,-,Gate City Athletics
