Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Green Bay Packers,38,Innis Gaines,DB,6-2,215,25,1,,,,-,-,-,-
Green Bay Packers,27,Zyon Gilbert,DB,6-0,193,24,1,,,,-,-,-,-
Green Bay Packers,--,Anthony Johnson,DB,6-2,205,--,1,,,,-,-,-,-
Green Bay Packers,79,Michael Jordan,OG,6-6,315,25,4,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Green Bay Packers,17,Alex McGough,QB,6-3,214,27,1,,,,James Martin,OTG Sports Management LLC,James Martin,OTG Sports Management LLC
Green Bay Packers,80,Bo Melton,WR,5-11,189,24,1,,,,Adisa Bakari,The Sports & Entertainment Group ,-,The Sports & Entertainment Group 
Green Bay Packers,32,Ellis Merriweather,RB,6-1,220,--,1,,,,-,-,-,-
Green Bay Packers,53,Arron Mosby,LB,6-3,250,24,1,,,,-,-,-,-
Green Bay Packers,56,Kenneth Odumegwu,LB,6-6,259,--,1,,,,-,-,-,-
Green Bay Packers,44,Henry Pearson,RB,6-2,249,--,1,,,,-,-,-,-
Green Bay Packers,48,Benny Sapp,DB,5-11,200,--,1,,,,-,-,-,-
Green Bay Packers,98,Chris Slayton,DT,6-4,307,27,1,,,,Jared Fox,"SPORTSTARS, INC.","Dave Butz, Jared Fox",SportStars
Green Bay Packers,77,Kadeem Telfort,OT,6-7,322,--,1,,,,-,-,-,-
Green Bay Packers,46,Christian Young,LB,6-1,221,--,1,,,,-,-,-,-
