Team Name,Player Number,Player Name,Pos,Ht,Wt,Age,Yrs of EXP,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Dallas Cowboys,75,Josh Ball,OT,6-8,304,25,2,,,,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Dallas Cowboys,7,Trevon Diggs,DB,6-2,195,25,3,,,,Ryan Rubin,Gate City Athletics,Ryan Rubin,Gate City Athletics
Dallas Cowboys,85,David Durden,WR,6-2,200,--,1,,,,-,-,-,-
Dallas Cowboys,29,C.J. Goodwin,DB,6-3,190,33,7,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Dallas Cowboys,89,Peyton Hendershot,TE,6-4,254,24,1,,,,-,-,-,-
Dallas Cowboys,35,DeMarvion Overshown,LB,6-2,220,--,1,,,,Eric Eastham,The Familie,-,The Familie
Dallas Cowboys,49,John Stephens,WR,6-5,221,--,1,,,,-,-,-,-
Dallas Cowboys,55,Leighton Vander Esch,LB,6-4,256,26,5,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Dallas Cowboys,79,Matt Waletzko,OT,6-8,305,23,1,,,,Shahin Aslani,Wasserman Media Group,-,Wasserman
Dallas Cowboys,64,Earl Bostick,OT,6-6,310,--,1,,,,-,-,-,-
Dallas Cowboys,40,Josh Butler,DB,6-0,182,--,1,,,,-,-,-,-
Dallas Cowboys,16,Jalen Cropper,WR,6-0,172,--,1,,,,-,-,-,-
Dallas Cowboys,34,Malik Davis,RB,5-11,202,24,1,,,,-,-,-,-
Dallas Cowboys,32,Rashaan Evans,LB,6-2,232,26,5,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Dallas Cowboys,48,Princeton Fant,TE,6-2,235,--,1,,,,-,-,-,-
Dallas Cowboys,46,Malik Jefferson,LB,6-2,241,26,4,,,,Leigh Steinberg,Leigh Steinberg Sports,"Chris Cabott, Leigh Steinberg",Equity Sports
Dallas Cowboys,45,Buddy Johnson,LB,6-2,240,24,2,,,,George Elemont,Elite Athlete Management,-,Elite Athlete Management
Dallas Cowboys,51,Durrell Johnson,DE,6-3,240,--,1,,,,-,-,-,-
Dallas Cowboys,80,Tyron Johnson,WR,6-1,193,27,3,,,,-,-,-,-
Dallas Cowboys,77,Adam Pankey,OT,6-4,313,29,4,,,,-,-,-,-
Dallas Cowboys,94,Willington Previlon,DT,6-5,287,26,1,,,,-,-,-,-
Dallas Cowboys,69,Billy Price,C,6-4,308,28,4,,,,Daniel Connell/Shannon Polk/Mark Humenik,IHC Sports,"Mark Humenik, Shannon Polk, Andy Kabat, Daniel Connell",IHC Sports
Dallas Cowboys,36,Sheldrick Redwine,DB,6-0,196,27,4,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Dallas Cowboys,--,Dakoda Shepley,C,6-5,290,28,2,,,,Ray Haija ,YOUNG MONEY APAA SPORTS,Ray Haija,-
