Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Cincinnati Bengals,32,Trayveon Williams,RB,5-8,206,26,4,Rodney Williams and Shane Williams and Rodney Ardoin and Brian Overstreet,"United Sports Group and Overtime Sports Management Group, LLC and New Deal Sports Management and E. Overstreet Sports Management","Shane Williams, Rodney Ardoin, Rodney Williams, Brian Overstreet",United Sports Group
Cincinnati Bengals,55,Logan Wilson,LB,6-2,245,27,3,-,-,-,Caric Sports Management
Cincinnati Bengals,26,Tycen Anderson,DB,6-2,209,24,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Cincinnati Bengals,30,Chase Brown,RB,5-9,215,--,1,-,-,-,-
Cincinnati Bengals,76,Devin Cochran,OT,6-7,310,25,1,-,-,-,-
Cincinnati Bengals,15,Charlie Jones,WR,6-0,188,--,1,-,-,-,CAA Sports
Cincinnati Bengals,69,Devonnsha Maxwell,DT,6-2,297,--,1,Harold Lewis/Chad Berger/Ezra Thompson,National Sports Agency,"Harold Lewis, Ezra Thompson, Chad Berger",National Sports Agency
Cincinnati Bengals,72,Domenique Davis,DT,6-2,326,--,1,-,-,-,-
Cincinnati Bengals,34,Demetric Felton,RB,5-9,185,25,2,Shahin Aslani and Michael Swenson,Wasserman Media Group,"Michael Swenson, Doug Hendrickson",Wasserman Media Group
Cincinnati Bengals,82,Zach Gentry,TE,6-8,265,27,4,Jerard Roggio,"SPORTSTARS, INC.","Jim Ivler, Jerard Roggio","SPORTSTARS, INC."
Cincinnati Bengals,42,Allan George,DB,5-11,191,24,1,-,-,-,-
Cincinnati Bengals,66,Nathan Gilliam,C,6-5,300,26,-,-,-,-,-
Cincinnati Bengals,93,Jeffrey Gunter,DE,6-4,263,24,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Cincinnati Bengals,50,Shaka Heyward,LB,6-3,238,--,1,-,-,-,-
Cincinnati Bengals,12,Shedrick Jackson,WR,6-1,195,--,1,-,-,-,-
Cincinnati Bengals,44,Clay Johnston,LB,6-1,232,27,2,-,-,Bus Cook,Bus Cook Sports
Cincinnati Bengals,24,Sidney Jones,DB,6-0,181,27,5,Shahin Aslani,Wasserman Media Group,-,Wasserman
Cincinnati Bengals,60,Jaxson Kirkland,OG,6-7,328,--,1,-,-,-,-
Cincinnati Bengals,18,Kwamie Lassiter,WR,5-11,185,25,1,-,-,-,-
Cincinnati Bengals,--,A.J. McCarron,QB,6-3,220,33,8,Brian Ayrault and Todd France,WME Football and Athletes First,"Todd France, Brian Ayrault",CAA Sports
Cincinnati Bengals,17,Stanley Morgan,WR,6-0,205,27,4,-,-,-,First Picks Sports
Cincinnati Bengals,19,Kendric Pryor,WR,5-11,189,25,1,-,-,-,-
Cincinnati Bengals,31,Michael Thomas,DB,5-11,192,33,9,-,-,Christina Phillips,Precision Sports MG
