Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Indianapolis Colts,30,Darren Hall,DB,6-0,190,23,2,,,,-,-,Cameron Weiss,Dynamic Sports Group
Indianapolis Colts,13,KJ Hamler,WR,5-9,178,24,3,,,,-,-,-,CAA Sports
Indianapolis Colts,48,Ronnie Harrison,DB,6-2,207,26,5,,,,Isaac Conner and Chad Speck,A3 Athletics and Allegiant Athletic Agency,"Chad Speck, Isaac Conner",Allegiant Athletic Agency
Indianapolis Colts,36,Tyreque Jones,DB,6-2,195,--,1,,,,-,-,-,-
Indianapolis Colts,66,Lewis Kidd,OG,6-6,311,26,1,,,,-,-,-,-
Indianapolis Colts,35,Chris Lammons,DB,5-10,190,27,3,,,,-,-,-,-
Indianapolis Colts,12,Kellen Mond,QB,6-3,211,24,2,,,,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Indianapolis Colts,34,D.J. Montgomery,WR,6-1,201,26,2,,,,-,-,-,-
Indianapolis Colts,97,Al-Quadin Muhammad,DE,6-4,250,28,6,,,,Robert Bailey,Rosenhaus Sports Representation,-,Rosenhaus Sports Representation
Indianapolis Colts,--,Jordan Murray,TE,6-5,240,--,1,,,,-,-,-,-
Indianapolis Colts,2,Zavier Scott,RB,6-1,219,--,1,,,,-,-,-,-
Indianapolis Colts,37,Isaac Taylor-Stuart,DB,6-2,200,24,1,,,,-,-,-,-
