PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,Yrs of Exp
"Derrick
White",BOS,9,G,6-4,190 lbs,USA,6
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Brandon
Boston Jr.",LAC,4,G,6-6,188 lbs,USA,2
"Kobe
Brown",LAC,21,F,6-7,250 lbs,USA,1
"Amir
Coffey",LAC,7,G-F,6-7,210 lbs,USA,4
"Moussa
Diabate",LAC,25,F,6-9,210 lbs,France,1
"Paul
George",LAC,13,F,6-8,220 lbs,USA,13
"James
Harden",LAC,1,G,6-5,220 lbs,USA,13
"Bones
Hyland",LAC,5,G,6-2,169 lbs,USA,-
"Kawhi
Leonard",LAC,2,F,6-7,225 lbs,USA,12
"Terance
Mann",LAC,14,G-F,6-5,215 lbs,USA,4
"Jordan
Miller",LAC,11,G,6-5,194 lbs,USA,1
"Mason
Plumlee",LAC,44,F-C,6-10,254 lbs,USA,10
"Norman
Powell",LAC,24,G,6-4,215 lbs,USA,8
"Joshua
Primo",LAC,12,G,6-4,189 lbs,Canada,2
"P.J.
Tucker",LAC,17,F,6-5,245 lbs,USA,12
"Russell
Westbrook",LAC,0,G,6-4,200 lbs,USA,15
"Ivica
Zubac",LAC,40,C,7-0,240 lbs,Croatia,7
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Steven
Adams",MEM,4,C,6-11,265 lbs,New Zealand,10
"Santi
Aldama",MEM,7,F-C,7-0,215 lbs,Spain,2
"Desmond
Bane",MEM,22,G,6-5,215 lbs,USA,3
"Bismack
Biyombo",MEM,18,C,6-8,255 lbs,DRC,12
"Brandon
Clarke",MEM,15,F,6-8,215 lbs,Canada,4
"Jacob
Gilyard",MEM,0,G,5-8,160 lbs,USA,1
"GG
Jackson",MEM,45,F,6-9,210 lbs,USA,1
"Jaren
Jackson Jr.",MEM,13,F-C,6-10,242 lbs,USA,5
"Luke
Kennard",MEM,10,G,6-5,206 lbs,USA,6
"John
Konchar",MEM,46,G,6-5,210 lbs,USA,4
"Jake
LaRavia",MEM,3,F,6-7,235 lbs,USA,1
"Kenneth
Lofton Jr.",MEM,6,F,6-6,275 lbs,USA,1
"Ja
Morant",MEM,12,G,6-2,174 lbs,USA,4
"David
Roddy",MEM,21,F,6-4,255 lbs,USA,1
"Derrick
Rose",MEM,23,G,6-3,200 lbs,USA,15
"Marcus
Smart",MEM,36,G,6-3,220 lbs,USA,9
"Xavier
Tillman",MEM,2,F,6-7,245 lbs,USA,3
"Ziaire
Williams",MEM,8,F,6-9,185 lbs,USA,2
"Vince
Williams Jr.",MEM,5,G,6-4,205 lbs,USA,1
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Saddiq
Bey",ATL,41,G-F,6-7,215 lbs,USA,3
"Bogdan
Bogdanovic",ATL,13,G,6-5,225 lbs,Serbia,6
"Kobe
Bufkin",ATL,4,G,6-5,195 lbs,USA,1
"Clint
Capela",ATL,15,C,6-10,256 lbs,Switzerland,9
"Bruno
Fernando",ATL,24,F-C,6-9,240 lbs,Angola,4
"Trent
Forrest",ATL,2,G,6-4,210 lbs,USA,3
"AJ
Griffin",ATL,14,F,6-6,220 lbs,USA,5.034
"Mouhamed
Gueye",ATL,18,F,6-10,210 lbs,Senegal,1
"De'Andre
Hunter",ATL,12,F-G,6-8,221 lbs,USA,4
"Jalen
Johnson",ATL,1,F,6-8,219 lbs,USA,2
"Seth
Lundy",ATL,3,G-F,6-4,220 lbs,USA,1
"Garrison
Mathews",ATL,25,G,6-6,215 lbs,USA,4
"Wesley
Matthews",ATL,32,G,6-5,220 lbs,USA,14
"Patty
Mills",ATL,8,G,6-2,180 lbs,Australia,14
"Dejounte
Murray",ATL,5,G,6-5,180 lbs,USA,7
"Miles
Norris",ATL,0,F,6-7,220 lbs,USA,1
"Onyeka
Okongwu",ATL,17,F-C,6-10,240 lbs,USA,3
"Trae
Young",ATL,11,G,6-1,164 lbs,USA,5
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Bam
Adebayo",MIA,13,C-F,6-9,255 lbs,USA,6
"Thomas
Bryant",MIA,31,C-F,6-10,248 lbs,USA,6
"Jimmy
Butler",MIA,22,F,6-7,230 lbs,USA,12
"Jamal
Cain",MIA,8,F,6-6,191 lbs,USA,1
"R.J.
Hampton",MIA,4,G,6-4,175 lbs,USA,3
"Tyler
Herro",MIA,14,G,6-5,195 lbs,USA,4
"Haywood
Highsmith",MIA,24,F,6-5,220 lbs,USA,3
"Jaime
Jaquez Jr.",MIA,11,G,6-6,225 lbs,USA,1
"Nikola
Jovic",MIA,5,F,6-10,205 lbs,Serbia,1
"Kevin
Love",MIA,42,F-C,6-8,251 lbs,USA,15
"Kyle
Lowry",MIA,7,G,6-0,196 lbs,USA,17
"Caleb
Martin",MIA,16,F,6-5,205 lbs,USA,4
"Josh
Richardson",MIA,0,G,6-5,200 lbs,USA,8
"Duncan
Robinson",MIA,55,F,6-7,215 lbs,USA,5
"Orlando
Robinson",MIA,25,C,6-10,235 lbs,USA,1
"Dru
Smith",MIA,9,G,6-2,203 lbs,USA,1
"Cole
Swider",MIA,21,F,6-8,220 lbs,USA,1
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Amari
Bailey",CHA,10,G,6-3,185 lbs,USA,1
"LaMelo
Ball",CHA,1,G,6-7,180 lbs,USA,3
"Leaky
Black",CHA,12,F,6-6,209 lbs,USA,1
"James
Bouknight",CHA,2,G,6-4,190 lbs,USA,2
"Miles
Bridges",CHA,0,F,6-7,225 lbs,USA,5
