PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,Yrs of Exp
"Otto
Porter Jr.",TOR,32,F,6-8,230 lbs,USA,10
"Dennis
Schroder",TOR,17,G,6-1,175 lbs,Germany,10
"Pascal
Siakam",TOR,43,F,6-8,245 lbs,Cameroon,7
"Garrett
Temple",TOR,14,G-F,6-5,195 lbs,USA,13
"Gary
Trent Jr.",TOR,33,G-F,6-5,204 lbs,USA,5
"Thaddeus
Young",TOR,21,F,6-8,225 lbs,USA,16
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Dillon
Brooks",HOU,9,G-F,6-6,225 lbs,Canada,6
"Reggie
Bullock Jr.",HOU,25,G-F,6-6,205 lbs,USA,10
"Tari
Eason",HOU,17,F,6-8,215 lbs,USA,1
"Jalen
Green",HOU,4,G,6-4,186 lbs,USA,2
"Jeff
Green",HOU,32,F,6-8,235 lbs,USA,16
"Nate
Hinton",HOU,14,G-F,6-5,210 lbs,USA,2
"Aaron
Holiday",HOU,0,G,6-0,185 lbs,USA,5
"Jock
Landale",HOU,2,C,6-11,255 lbs,Australia,2
"Boban
Marjanovic",HOU,51,C,7-4,290 lbs,Serbia,8
"Victor
Oladipo",HOU,3,G,6-3,213 lbs,USA,10
"Jermaine
Samuels Jr.",HOU,0,F,6-6,230 lbs,USA,1
"Alperen
Sengun",HOU,28,C,6-11,243 lbs,Turkey,2
"Jabari
Smith Jr.",HOU,10,F,6-11,220 lbs,USA,1
"Jae'Sean
Tate",HOU,8,F,6-4,230 lbs,USA,3
"Amen
Thompson",HOU,1,G-F,6-7,200 lbs,USA,1
"Fred
VanVleet",HOU,5,G,6-0,197 lbs,USA,7
"Cam
Whitmore",HOU,7,F,6-7,230 lbs,USA,1
"Nate
Williams",HOU,19,G,6-5,205 lbs,USA,
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Dominick
Barlow",SAS,26,F,6-9,215 lbs,USA,1
"Charles
Bassey",SAS,28,C-F,6-10,230 lbs,Nigeria,2
"Charles
Bediako",SAS,27,C,7-0,225 lbs,Canada,1
"Malaki
Branham",SAS,22,F,6-4,180 lbs,USA,1
"Julian
Champagnie",SAS,30,F,6-7,217 lbs,USA,1
"Sidy
Cissoko",SAS,25,G,6-6,200 lbs,France,1
"Zach
Collins",SAS,23,F-C,6-11,250 lbs,USA,6
"Devonte'
Graham",SAS,4,G,6-1,195 lbs,USA,5
"Keldon
Johnson",SAS,3,F-G,6-5,220 lbs,USA,4
"Tre
Jones",SAS,33,G,6-1,185 lbs,USA,3
"Sandro
Mamukelashvili",SAS,54,F-C,6-9,240 lbs,Georgia,2
"Doug
McDermott",SAS,17,F,6-6,225 lbs,USA,9
"Cedi
Osman",SAS,16,F,6-7,230 lbs,Turkey,6
"Sir'Jabari
Rice",SAS,11,G,6-4,180 lbs,USA,1
"Jeremy
Sochan",SAS,10,F,6-8,230 lbs,Poland,1
"Devin
Vassell",SAS,24,G-F,6-5,200 lbs,USA,3
"Victor
Wembanyama",SAS,1,F-C,7-4,210 lbs,France,1
"Blake
Wesley",SAS,14,G,6-3,185 lbs,USA,1
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Grayson
Allen",PHX,8,G,6-4,198 lbs,USA,5
"Udoka
Azubuike",PHX,27,C-F,6-11,270 lbs,Nigeria,3
"Keita
Bates-Diop",PHX,21,F,6-8,229 lbs,USA,5
"Bradley
Beal",PHX,3,G,6-4,207 lbs,USA,11
"Bol
Bol",PHX,11,C-F,7-3,220 lbs,Sudan,4
"Devin
Booker",PHX,1,G,6-6,206 lbs,USA,8
"Kevin
Durant",PHX,35,F,6-11,240 lbs,USA,16
"Drew
Eubanks",PHX,14,F-C,6-10,245 lbs,USA,5
"Jordan
Goodwin",PHX,0,G,6-4,200 lbs,USA,2
"Eric
Gordon",PHX,23,G,6-3,215 lbs,USA,15
"Damion
Lee",PHX,10,G-F,6-6,210 lbs,USA,6
"Saben
Lee",PHX,38,G,6-2,183 lbs,USA,3
"Nassir
Little",PHX,25,F-G,6-6,220 lbs,USA,4
"Chimezie
Metu",PHX,4,F-C,6-10,225 lbs,USA,5
"Jusuf
Nurkic",PHX,20,C,7-0,290 lbs,Bosnia and Herzegovina,9
"Josh
Okogie",PHX,2,G,6-4,213 lbs,Nigeria,5
"Yuta
Watanabe",PHX,18,G-F,6-9,215 lbs,Japan,5
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Davis
Bertans",OKC,9,F,6-10,225 lbs,Latvia,7
"Ousmane
Dieng",OKC,13,F,6-9,185 lbs,France,1
"Luguentz
Dort",OKC,5,G,6-4,220 lbs,Canada,4
"Josh
Giddey",OKC,3,G,6-8,216 lbs,Australia,2
"Shai
Gilgeous-Alexander",OKC,2,G,6-6,195 lbs,Canada,5
"Chet
Holmgren",OKC,7,C-F,7-1,195 lbs,USA,1
"Isaiah
Joe",OKC,11,G,6-3,165 lbs,USA,3
"Keyontae
Johnson",OKC,18,F,6-4,230 lbs,USA,1
"Tre
Mann",OKC,23,G,6-3,178 lbs,USA,2
"Vasilije
Micic",OKC,29,G,6-3,188 lbs,Serbia,1
"Aleksej
Pokusevski",OKC,17,F,7-0,210 lbs,Serbia,3
"Olivier
Sarr",OKC,30,C,6-10,240 lbs,France,2
"Cason
Wallace",OKC,22,G,6-3,195 lbs,USA,1
"Lindy
Waters III",OKC,12,F,6-6,210 lbs,USA,2
"Aaron
Wiggins",OKC,21,G,6-5,190 lbs,USA,2
"Jalen
Williams",OKC,8,G-F,6-5,211 lbs,USA,1
"Jaylin
Williams",OKC,6,F,6-9,240 lbs,USA,1
"Kenrich
Williams",OKC,34,G-F,6-6,210 lbs,USA,5
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Nickeil
Alexander-Walker",MIN,9,G,6-5,205 lbs,Canada,4
"Kyle
Anderson",MIN,1,F-G,6-9,230 lbs,USA,9
"Troy
Brown Jr.",MIN,23,G-F,6-7,215 lbs,USA,5
"Jaylen
Clark",MIN,0,G,6-4,205 lbs,USA,1
"Mike
Conley",MIN,10,G,6-0,175 lbs,USA,16
"Anthony
Edwards",MIN,5,G,6-4,225 lbs,USA,3
"Luka
Garza",MIN,55,C,6-10,243 lbs,USA,2
"Rudy
Gobert",MIN,27,C,7-1,258 lbs,France,10
"Jaden
McDaniels",MIN,3,F,6-9,185 lbs,USA,3
"Jordan
McLaughlin",MIN,6,G,6-0,185 lbs,USA,4
"Leonard
Miller",MIN,33,F,6-10,210 lbs,Canada,1
"Shake
Milton",MIN,18,G-F,6-5,205 lbs,USA,5
"Josh
Minott",MIN,8,F,6-8,205 lbs,USA,1
"Wendell
Moore Jr.",MIN,7,G,6-5,215 lbs,USA,1
"Daishen
Nix",MIN,12,G,6-3,226 lbs,USA,2
"Naz
Reid",MIN,11,C-F,6-9,264 lbs,USA,4
"Karl-Anthony
Towns",MIN,32,C-F,7-0,248 lbs,USA,8
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Deandre
Ayton",POR,2,C,7-0,247 lbs,Bahamas,5
"Jamaree
Bouyea",POR,21,G,6-2,180 lbs,USA,1
"Malcolm
Brogdon",POR,11,G,6-4,229 lbs,USA,7
"Moses
Brown",POR,10,C,7-2,258 lbs,USA,4
"Toumani
Camara",POR,33,F,6-7,226 lbs,Belgium,1
"Jerami
Grant",POR,9,F,6-7,210 lbs,USA,9
"Scoot
Henderson",POR,0,G,6-3,202 lbs,USA,1
"Skylar
Mays",POR,5,G,6-3,205 lbs,USA,3
"Justin
Minaya",POR,24,F,6-5,205 lbs,USA,1
"Kris
Murray",POR,8,F,6-8,210 lbs,USA,1
"Duop
Reath",POR,26,C,6-9,245 lbs,South Sudan,1
"Rayan
Rupert",POR,72,G-F,6-6,185 lbs,France,1
"Shaedon
Sharpe",POR,17,G,6-5,205 lbs,Canada,1
"Anfernee
Simons",POR,1,G,6-3,193 lbs,USA,5
"Matisse
Thybulle",POR,4,G-F,6-5,201 lbs,USA,4
"Ish
Wainright",POR,23,F,6-5,250 lbs,USA,2
"Jabari
Walker",POR,34,F,6-7,227 lbs,USA,1
"Robert
Williams III",POR,35,C-F,6-9,249 lbs,USA,5
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Stephen
Curry",GSW,30,G,6-2,185 lbs,USA,14
"Usman
Garuba",GSW,12,F,6-8,229 lbs,Spain,2
"Draymond
Green",GSW,23,F,6-6,230 lbs,USA,11
"Trayce
Jackson-Davis",GSW,32,F,6-9,245 lbs,USA,1
"Cory
Joseph",GSW,1,G,6-2,200 lbs,Canada,12
"Jonathan
Kuminga",GSW,0,F,6-7,225 lbs,DRC,2
"Kevon
Looney",GSW,5,F,6-9,222 lbs,USA,8
"Moses
Moody",GSW,4,G,6-5,211 lbs,USA,2
"Chris
Paul",GSW,3,G,6-0,175 lbs,USA,18
"Gary
Payton II",GSW,0,G,6-2,195 lbs,USA,7
"Brandin
Podziemski",GSW,2,G,6-4,205 lbs,USA,1
"Lester
Quinones",GSW,25,G,6-4,208 lbs,USA,1
"Jerome
Robinson",GSW,18,G,6-5,190 lbs,USA,3
"Gui
Santos",GSW,15,F,6-6,185 lbs,Brazil,1
"Dario
Saric",GSW,20,F-C,6-10,225 lbs,Croatia,7
"Klay
Thompson",GSW,11,G,6-6,220 lbs,USA,12
"Andrew
Wiggins",GSW,22,F,6-7,197 lbs,Canada,9
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Deni
Avdija",WAS,8,F,6-9,210 lbs,Israel,3
"Patrick
Baldwin Jr.",WAS,7,F,6-9,220 lbs,USA,1
"Jared
Butler",WAS,4,G,6-3,193 lbs,USA,2
"John
Butler Jr.",WAS,19,F,7-0,190 lbs,USA,1
"Bilal
Coulibaly",WAS,0,G,6-8,195 lbs,France,1
"Johnny
Davis",WAS,1,G,6-4,195 lbs,USA,1
"Daniel
Gafford",WAS,21,F-C,6-10,234 lbs,USA,4
"Danilo
Gallinari",WAS,88,F,6-10,236 lbs,Italy,15
"Anthony
Gill",WAS,16,F,6-8,230 lbs,USA,3
"Tyus
Jones",WAS,5,G,6-1,196 lbs,USA,8
"Corey
Kispert",WAS,24,F,6-6,224 lbs,USA,2
"Kyle
Kuzma",WAS,33,F,6-9,221 lbs,USA,6
"Mike
Muscala",WAS,35,F-C,6-10,240 lbs,USA,10
"Eugene
Omoruyi",WAS,97,F,6-6,235 lbs,Nigeria,2
"Jordan
Poole",WAS,13,G,6-4,194 lbs,USA,4
"Ryan
Rollins",WAS,9,G,6-3,180 lbs,USA,1
"Landry
Shamet",WAS,20,G,6-4,190 lbs,USA,5
"Delon
Wright",WAS,55,G,6-5,185 lbs,USA,8
